base_path,file_exists,fragment,path,sources.label,sources.source
bhaca.htm,True,,bhaca.htm,Bhaca,language.csv
bhili.htm,True,,bhili.htm,Bhili,language.csv
bhojpuri.htm,True,,bhojpuri.htm,Bhojpuri,language.csv
bhojpuri.htm,True,,bhojpuri.htm,Bhojpuri_using_Kaithi,langalphMap.json
bhumij.htm,True,,bhumij.htm,Bhumij,language.csv
biak.htm,True,,biak.htm,Biak,language.csv
biatah.htm,True,,biatah.htm,Biatah,language.csv
biete.htm,True,,biete.htm,Biete,language.csv
bignumbas.htm,True,,bignumbas.htm,Big Numbas,language.csv
bikol.php,True,,bikol.php,Bikol,language.csv
bila.htm,True,,bila.htm,Bila,language.csv
bilaspuri.htm,True,,bilaspuri.htm,Bilaspuri,language.csv
biloxi.htm,True,,biloxi.htm,Biloxi,language.csv
bilua.htm,True,,bilua.htm,Bilua,language.csv
bima.htm,True,,bima.htm,Bima,language.csv
bima.htm,True,,bima.htm,Bima,writing.csv
bimin.htm,True,,bimin.htm,Bimin,language.csv
bininjkunwok.htm,True,,bininjkunwok.htm,Bininj Kunwok,language.csv
binukid.htm,True,,binukid.htm,Binukid,language.csv
binumarien.htm,True,,binumarien.htm,Binumarien,language.csv
birifornorthern.htm,True,,birifornorthern.htm,Birifor (Northern),language.csv
biriforsouthern.htm,True,,biriforsouthern.htm,Birifor (Southern),language.csv
bishnupriyamanipuri.htm,True,,bishnupriyamanipuri.htm,Bishnupriya Manipuri,language.csv
bislama.php,True,,bislama.php,Bislama,language.csv
bissa.htm,True,,bissa.htm,Bissa,language.csv
bisu.htm,True,,bisu.htm,Bisu,language.csv
blaan.htm,True,,blaan.htm,Blaan,language.csv
blackfoot.htm,True,,blackfoot.htm,Blackfoot,language.csv
blackfoot.htm,True,,blackfoot.htm,Blackfoot,writing.csv
blackfoot.htm,True,,blackfoot.htm,Blackfoot,langalphSingle.csv
blagar.htm,True,,blagar.htm,Blagar,language.csv
blin.htm,True,,blin.htm,Blin,language.csv
bodo.htm,True,,bodo.htm,Bodo,language.csv
bokar.htm,True,,bokar.htm,Bokar,language.csv
boko.htm,True,,boko.htm,Boko,language.csv
bola.htm,True,,bola.htm,Bola,language.csv
bole.htm,True,,bole.htm,Bole,language.csv
bolinao.htm,True,,bolinao.htm,Bolinao,language.csv
bolyu.htm,True,,bolyu.htm,Bolyu,language.csv
bonggi.htm,True,,bonggi.htm,Bonggi,language.csv
bongo.htm,True,,bongo.htm,Bongo,language.csv
bontoc.htm,True,,bontoc.htm,Bontoc,language.csv
bora.htm,True,,bora.htm,Bora,language.csv
bori.htm,True,,bori.htm,Bori,language.csv
borong.htm,True,,borong.htm,Borong,language.csv
bosnian.htm,True,,bosnian.htm,Bosnian,language.csv
botlikh.htm,True,,botlikh.htm,Botlikh,language.csv
botolan.htm,True,,botolan.htm,Botolan,language.csv
bouyei.htm,True,,bouyei.htm,Bouyei,language.csv
brahui.htm,True,,brahui.htm,Brahui,language.csv
